date,name,picture
1971,Todd Howard born,https://upload.wikimedia.org/wikipedia/commons/b/bf/ToddHoward2010sm_%28cropped%29.jpg
1972,Pong released,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Pong.svg/1280px-Pong.svg.png
1977,Atari 2600 released,https://upload.wikimedia.org/wikipedia/en/0/08/Atari_2600_logo.svg
1979,"Notch, creator of Minecraft, born",https://upload.wikimedia.org/wikipedia/commons/a/a2/Notch_receives_the_Pioneer_Award_at_GDC_2016_%28cropped%29.jpg
1985,Nintendo Entertaiment System released in the US, https://upload.wikimedia.org/wikipedia/commons/0/0d/NES_logo.svg
1989,Sega Genesis launches,https://upload.wikimedia.org/wikipedia/commons/a/a1/Sega-Mega-Drive-JP-Mk1-Console-Set.jpg
1991,SNES is released in the US,https://upload.wikimedia.org/wikipedia/commons/3/33/Super_Nintendo_Entertainment_System_logo.svg
